,id,main,description,icon,base,visibility,dt,timezone,name,cod,coord_lon,coord_lat,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,wind_speed,wind_deg,wind_gust,clouds_all,sys_country,sys_sunrise,sys_sunset,sys_type,sys_id,date_time
0,301,Drizzle,drizzle,09d,stations,5000,1724751940,19800,Port Blair,200,92.75,11.6667,25.02,26.03,25.02,25.02,1008,94,1008,1004,3.6,250,0.0,100,IN,1724715536,1724760152,1,9215,2024-08-27 09:45:40
1,500,Rain,light rain,10d,stations,5000,1724751940,19800,Port Blair,200,92.75,11.6667,25.02,26.03,25.02,25.02,1008,94,1008,1004,3.6,250,0.0,100,IN,1724715536,1724760152,1,9215,2024-08-27 09:45:40
2,804,Clouds,overcast clouds,04d,stations,10000,1724751994,19800,Chirala,200,80.3522,15.8238,34.54,38.54,34.54,34.54,1004,47,1004,1003,5.16,283,7.48,100,IN,1724718322,1724763316,0,0,2024-08-27 09:46:34
3,804,Clouds,overcast clouds,04d,stations,10000,1724751994,19800,Kondapalle,200,80.3667,16.5667,35.95,42.95,35.95,35.95,1004,60,1004,999,3.64,282,6.65,100,IN,1724718283,1724763348,1,9207,2024-08-27 09:46:34
4,804,Clouds,overcast clouds,04d,stations,10000,1724751994,19800,Guntur,200,80.4573,16.2997,35.42,42.42,35.42,35.97,1004,55,1004,1001,4.2,301,6.04,100,IN,1724718274,1724763313,2,2083890,2024-08-27 09:46:34
5,804,Clouds,overcast clouds,04d,stations,9555,1724751995,19800,Hindupur,200,77.4914,13.8281,27.87,29.26,27.87,27.87,1008,60,1008,935,5.92,270,7.86,99,IN,1724719101,1724763910,0,0,2024-08-27 09:46:35
6,803,Clouds,broken clouds,04d,stations,10000,1724751995,19800,Kothapet,200,79.4661,19.3316,30.73,35.78,30.73,30.73,1004,66,1004,976,4.25,253,5.45,81,IN,1724718366,1724763697,0,0,2024-08-27 09:46:35
7,804,Clouds,overcast clouds,04d,stations,10000,1724751995,19800,Ramanayyapeta,200,82.2381,16.9604,34.22,41.22,34.22,34.22,1004,59,1004,1003,4.82,277,7.65,100,IN,1724717815,1724762917,1,9225,2024-08-27 09:46:35
8,804,Clouds,overcast clouds,04d,stations,10000,1724751995,19800,Alampur,200,78.036,15.8289,30.37,32.52,30.37,30.37,1006,55,1006,971,5.9,258,9.29,100,IN,1724718877,1724763872,0,0,2024-08-27 09:46:35
9,804,Clouds,overcast clouds,04d,stations,10000,1724751995,19800,Machilipatnam,200,81.1389,16.1875,35.53,42.53,35.53,35.53,1004,72,1004,1004,3.58,314,7.76,100,IN,1724718116,1724763145,2,2083890,2024-08-27 09:46:35
10,804,Clouds,overcast clouds,04d,stations,10000,1724751995,19800,Nandyal,200,78.4836,15.478,31.63,34.16,31.63,31.63,1005,52,1005,981,6.5,275,9.22,100,IN,1724718786,1724763748,0,0,2024-08-27 09:46:35
11,804,Clouds,overcast clouds,04d,stations,10000,1724751995,19800,Nellore,200,79.987,14.4499,34.61,37.39,34.61,34.61,1004,43,1004,1002,1.44,235,4.64,98,IN,1724718473,1724763340,0,0,2024-08-27 09:46:35
12,804,Clouds,overcast clouds,04d,stations,10000,1724751995,19800,Ongole,200,80.0445,15.5036,35.08,37.99,35.08,35.08,1004,42,1004,1002,6.47,281,8.15,100,IN,1724718410,1724763375,0,0,2024-08-27 09:46:35
13,501,Rain,moderate rain,10d,stations,10000,1724751995,19800,Proddatur,200,78.5481,14.7502,34.83,37.2,34.83,34.83,1005,41,1005,985,9.01,281,10.18,91,IN,1724718804,1724763699,1,9210,2024-08-27 09:46:35
14,803,Clouds,broken clouds,04d,stations,6000,1724751995,19800,Rajahmundry,200,81.7778,17.0052,34.05,40.31,34.05,34.05,1004,55,1004,1001,5.14,270,10.29,75,IN,1724717924,1724763030,1,9225,2024-08-27 09:46:35
15,500,Rain,light rain,10d,stations,7000,1724751996,19800,Akkarampalle,200,79.4199,13.6355,35.66,37.83,35.66,35.66,1006,38,1006,969,5.14,270,0.0,40,IN,1724718646,1724763439,1,9219,2024-08-27 09:46:36
16,803,Clouds,broken clouds,04d,stations,6000,1724751996,19800,Alipur,200,83.2977,17.7041,33.13,40.13,33.13,33.13,1003,66,1003,997,5.14,220,0.0,75,IN,1724717525,1724762699,1,9255,2024-08-27 09:46:36
17,804,Clouds,overcast clouds,04d,stations,10000,1724751996,19800,Vizianagaram,200,83.3977,18.1133,32.77,39.77,32.77,32.77,1003,68,1003,996,5.52,152,7.0,100,IN,1724717482,1724762694,1,9255,2024-08-27 09:46:36
18,804,Clouds,overcast clouds,04d,stations,10000,1724751996,19800,Naharlagun,200,93.692,27.1023,33.64,40.64,33.64,33.64,1002,67,1002,951,2.7,203,3.39,91,IN,1724714547,1724760689,1,9123,2024-08-27 09:46:36
19,802,Clouds,scattered clouds,03d,stations,8000,1724751996,19800,Dibrugarh,200,94.9084,27.4799,34.03,41.03,34.03,34.03,1001,62,1001,989,1.54,200,0.0,40,IN,1724714234,1724760419,1,9126,2024-08-27 09:46:36
20,803,Clouds,broken clouds,04d,stations,10000,1724751996,19800,Dispur,200,91.8007,26.1356,27.96,31.27,27.96,27.96,1003,75,1003,983,2.76,237,4.23,59,IN,1724715054,1724761090,1,9117,2024-08-27 09:46:36
21,803,Clouds,broken clouds,04d,stations,4000,1724751996,19800,Guwahati,200,91.7629,26.1761,27.94,33.39,27.94,27.94,1002,89,1002,987,3.09,170,0.0,75,IN,1724715061,1724761101,1,9117,2024-08-27 09:46:36
22,803,Clouds,broken clouds,04d,stations,10000,1724751996,19800,Jorhat,200,94.2031,26.7575,33.24,40.24,33.24,33.24,1001,70,1001,990,3.05,237,3.9,72,IN,1724714443,1724760548,0,0,2024-08-27 09:46:36
23,804,Clouds,overcast clouds,04d,stations,10000,1724751996,19800,Silchar,200,92.7979,24.8273,30.45,37.45,30.45,30.45,1003,82,1003,999,3.58,219,4.82,88,IN,1724714885,1724760780,0,0,2024-08-27 09:46:36
24,803,Clouds,broken clouds,04d,stations,10000,1724751996,19800,Tezpur,200,92.8,26.6333,33.83,40.83,33.83,33.83,1001,64,1001,994,3.47,259,4.09,51,IN,1724714787,1724760877,0,0,2024-08-27 09:46:36
25,500,Rain,light rain,10d,stations,10000,1724751997,19800,Aurangabad,200,84.3742,24.752,26.65,26.65,26.65,26.65,1002,87,1002,989,2.47,86,4.37,100,IN,1724716912,1724762796,0,0,2024-08-27 09:46:37
26,803,Clouds,broken clouds,04d,stations,3287,1724751997,19800,Bhagalpur,200,86.9718,25.2445,31.96,37.91,31.96,31.96,1002,63,1002,998,4.78,123,5.67,68,IN,1724716262,1724762199,0,0,2024-08-27 09:46:37
27,701,Mist,mist,50d,stations,5000,1724751779,19800,Gaya,200,85.0039,24.7969,29.97,36.97,29.97,29.97,1001,79,1001,988,4.12,90,0.0,75,IN,1724716758,1724762647,1,9115,2024-08-27 09:42:59
28,804,Clouds,overcast clouds,04d,stations,10000,1724751997,19800,Muzaffarpur,200,85.3906,26.1226,32.28,37.11,32.28,32.28,1002,58,1002,995,5.73,109,8.33,91,IN,1724716594,1724762626,0,0,2024-08-27 09:46:37
29,804,Clouds,overcast clouds,04d,stations,10000,1724751997,19800,Patna,200,85.101,25.6154,32.57,37.47,32.57,32.57,1001,57,1001,995,6.66,111,7.62,100,IN,1724716691,1724762668,0,0,2024-08-27 09:46:37
30,804,Clouds,overcast clouds,04d,stations,10000,1724751997,19800,Purnia,200,87.4737,25.7767,31.11,36.99,31.11,31.11,1002,67,1002,998,3.66,115,6.54,92,IN,1724716112,1724762108,0,0,2024-08-27 09:46:37
31,802,Clouds,scattered clouds,03d,stations,10000,1724751997,19800,Chandigarh,200,76.7884,30.7363,32.91,37.93,32.91,32.91,1003,56,1003,964,3.41,145,3.69,44,IN,1724718395,1724764953,0,0,2024-08-27 09:46:37
32,804,Clouds,overcast clouds,04d,stations,10000,1724751997,19800,Bhilai,200,81.4285,21.2092,30.01,33.68,30.01,30.01,1003,64,1003,970,5.74,245,7.19,100,IN,1724717802,1724763319,1,9168,2024-08-27 09:46:37
33,804,Clouds,overcast clouds,04d,stations,10000,1724751997,19800,Bilaspur,200,82.1554,22.08,31.39,35.16,31.39,31.39,1002,58,1002,972,5.84,252,7.59,100,IN,1724717584,1724763189,0,0,2024-08-27 09:46:37
34,802,Clouds,scattered clouds,03d,stations,6000,1724751957,19800,Raipur,200,81.6333,21.2333,30.08,34.28,30.08,30.08,1003,66,1003,970,6.69,220,0.0,40,IN,1724717752,1724763271,1,9168,2024-08-27 09:45:57
35,804,Clouds,overcast clouds,04d,stations,10000,1724751998,19800,Silvassa,200,72.9967,20.2739,27.37,31.3,27.37,27.37,1003,86,1003,995,8.35,211,13.29,100,IN,1724719873,1724765295,0,0,2024-08-27 09:46:38
36,500,Rain,light rain,10d,stations,10000,1724751998,19800,Daman,200,72.8324,20.4143,27.48,31.47,27.48,27.48,1002,85,1002,1002,10.29,211,14.26,100,IN,1724719905,1724765341,0,0,2024-08-27 09:46:38
37,500,Rain,light rain,10d,stations,10000,1724751998,19800,Diu,200,70.988,20.7151,26.91,30.09,26.91,26.91,1000,86,1000,999,10.87,247,14.56,100,IN,1724720333,1724765799,0,0,2024-08-27 09:46:38
38,721,Haze,haze,50d,stations,5000,1724751998,19800,Delhi,200,77.2315,28.652,31.03,38.03,31.03,31.03,1001,74,1001,976,5.14,90,0.0,75,IN,1724718411,1724764725,1,9165,2024-08-27 09:46:38
39,721,Haze,haze,50d,stations,5000,1724751589,19800,"Parliament House, Delhi",200,77.2,28.6,31.05,38.05,31.05,31.05,1001,74,1001,976,6.17,90,0.0,75,IN,1724718421,1724764729,1,9165,2024-08-27 09:39:49
40,500,Rain,light rain,10d,stations,5000,1724751998,19800,Panjim,200,73.8245,15.4983,27.95,32.44,27.95,27.95,1008,83,1008,1007,5.14,270,0.0,75,IN,1724719903,1724764867,1,9233,2024-08-27 09:46:38
